Month,Year,Autonomous Community,Province,Relation,Victim Age,Agressor Age,Previous Abuse Report,Living Together,Victims
January,2008,Comunidad de Madrid,Madrid,Partner,41-50 years,31-40 years,No,Yes,1
January,2008,Región de Murcia,Murcia,Partner,51-64 years,51-64 years,No,Yes,1
January,2008,Comunidad Foral de Navarra,Navarra,Partner,18-20 years,21-30 years,No,No,1
February,2008,Andalucía,Cádiz,Partner,41-50 years,51-64 years,Yes,No,1
February,2008,Canarias,Santa Cruz de Tenerife,Partner,41-50 years,41-50 years,No,Yes,1
February,2008,Castilla y León,Valladolid,Ex-partner,51-64 years,51-64 years,No,No,1
February,2008,Castilla - La Mancha,Guadalajara,Partner,41-50 years,41-50 years,Yes,Yes,1
February,2008,Comunidad Valenciana,Valencia,Ex-partner,41-50 years,51-64 years,Yes,No,1
February,2008,Comunidad Valenciana,Valencia,Partner,41-50 years,41-50 years,No,Yes,1
February,2008,Comunidad de Madrid,Madrid,Partner,21-30 years,21-30 years,No,Yes,1
February,2008,Comunidad de Madrid,Madrid,Partner,41-50 years,41-50 years,No,Yes,1
March,2008,Andalucía,Almería,Partner,51-64 years,51-64 years,No,Yes,1
March,2008,Castilla y León,Burgos,Partner,51-64 years,65-74 years,No,No,1
March,2008,Cataluña,Barcelona,Ex-partner,21-30 years,21-30 years,No,No,1
March,2008,Comunidad Valenciana,Alicante,Partner,41-50 years,41-50 years,Yes,Yes,1
April,2008,Aragón,Huesca,Partner,21-30 years,21-30 years,No,Yes,1
April,2008,Castilla - La Mancha,Guadalajara,Ex-partner,31-40 years,31-40 years,Yes,No,1
April,2008,Comunidad Valenciana,Alicante,Ex-partner,18-20 years,31-40 years,Yes,No,1
April,2008,Comunidad Valenciana,Alicante,Partner,16-17 years,21-30 years,No,No,1
April,2008,Comunidad de Madrid,Madrid,Ex-partner,31-40 years,31-40 years,No,No,1
May,2008,Andalucía,Cádiz,Ex-partner,65-74 years,75-84 years,Yes,No,1
May,2008,Castilla y León,Zamora,Partner,31-40 years,41-50 years,No,Yes,1
May,2008,Cataluña,Barcelona,Ex-partner,31-40 years,31-40 years,No,No,1
June,2008,Andalucía,Córdoba,Partner,75-84 years,75-84 years,No,Yes,1
June,2008,Cataluña,Barcelona,Partner,51-64 years,41-50 years,No,Yes,1
June,2008,Cataluña,Girona,Partner,21-30 years,31-40 years,No,Yes,1
June,2008,Comunidad de Madrid,Madrid,Ex-partner,31-40 years,31-40 years,Yes,No,1
June,2008,La Rioja,La Rioja,Partner,21-30 years,31-40 years,No,Yes,1
July,2008,Principado de Asturias,Asturias,Ex-partner,31-40 years,41-50 years,No,No,1
July,2008,Cataluña,Barcelona,Partner,31-40 years,31-40 years,No,No,1
July,2008,Comunidad de Madrid,Madrid,Ex-partner,31-40 years,41-50 years,No,No,1
July,2008,Región de Murcia,Murcia,Partner,31-40 years,41-50 years,No,Yes,1
July,2008,La Rioja,La Rioja,Ex-partner,41-50 years,51-64 years,Yes,No,1
August,2008,Canarias,Santa Cruz de Tenerife,Ex-partner,21-30 years,41-50 years,Yes,No,1
August,2008,Castilla y León,Salamanca,Partner,18-20 years,18-20 years,No,No,1
August,2008,Cataluña,Girona,Ex-partner,18-20 years,31-40 years,No,No,1
August,2008,Comunidad Valenciana,Valencia,Partner,41-50 years,31-40 years,No,Yes,1
August,2008,Galicia,Pontevedra,Partner,21-30 years,41-50 years,No,Yes,1
August,2008,Comunidad de Madrid,Madrid,Partner,51-64 years,51-64 years,No,Yes,1
August,2008,Comunidad Foral de Navarra,Navarra,Partner,51-64 years,75-84 years,No,Yes,1
August,2008,País Vasco,Álava,Partner,65-74 years,65-74 years,No,Yes,1
September,2008,Andalucía,Málaga,Ex-partner,21-30 years,21-30 years,Yes,No,1
September,2008,Islas Baleares,Islas Baleares,Partner,21-30 years,31-40 years,No,Yes,1
September,2008,Castilla y León,Valladolid,Ex-partner,41-50 years,41-50 years,No,No,1
September,2008,Castilla y León,Valladolid,Partner,21-30 years,21-30 years,No,No,1
September,2008,Cataluña,Barcelona,Ex-partner,41-50 years,41-50 years,No,No,1
September,2008,Comunidad Valenciana,Valencia,Ex-partner,31-40 years,31-40 years,No,No,1
September,2008,Comunidad de Madrid,Madrid,Partner,65-74 years,65-74 years,No,Yes,1
October,2008,Andalucía,Cádiz,Partner,31-40 years,31-40 years,No,No,1
October,2008,Andalucía,Granada,Partner,31-40 years,31-40 years,No,No,1
October,2008,Andalucía,Granada,Partner,41-50 years,41-50 years,Yes,No,1
October,2008,Comunidad de Madrid,Madrid,Partner,21-30 years,41-50 years,No,Yes,1
October,2008,Región de Murcia,Murcia,Partner,21-30 years,31-40 years,No,No,1
October,2008,Comunidad Foral de Navarra,Navarra,Ex-partner,41-50 years,51-64 years,Yes,No,1
October,2008,País Vasco,Vizcaya,Partner,21-30 years,31-40 years,No,Yes,1
November,2008,Comunidad Valenciana,Valencia,Partner,21-30 years,31-40 years,No,Yes,1
November,2008,Galicia,A Coruña,Ex-partner,41-50 years,31-40 years,No,No,1
November,2008,Galicia,Pontevedra,Ex-partner,21-30 years,41-50 years,No,No,1
November,2008,Galicia,Pontevedra,Partner,51-64 years,51-64 years,No,Yes,1
November,2008,Comunidad de Madrid,Madrid,Partner,65-74 years,65-74 years,Yes,Yes,1
November,2008,Región de Murcia,Murcia,Ex-partner,41-50 years,75-84 years,No,No,1
December,2008,Canarias,Las Palmas,Partner,21-30 years,21-30 years,No,No,1
December,2008,Canarias,Las Palmas,Partner,21-30 years,31-40 years,No,Yes,1
December,2008,Canarias,Santa Cruz de Tenerife,Partner,65-74 years,75-84 years,Yes,Yes,1
December,2008,Castilla - La Mancha,Guadalajara,Partner,21-30 years,21-30 years,No,No,1
December,2008,Cataluña,Barcelona,Partner,31-40 years,31-40 years,Yes,No,1
December,2008,Cataluña,Barcelona,Partner,51-64 years,51-64 years,Yes,Yes,1
December,2008,Cataluña,Lleida,Partner,41-50 years,51-64 years,No,Yes,1
December,2008,Comunidad Valenciana,Valencia,Partner,31-40 years,21-30 years,Yes,Yes,1
December,2008,Galicia,A Coruña,Partner,51-64 years,65-74 years,No,Yes,1
December,2008,Galicia,Pontevedra,Partner,41-50 years,41-50 years,No,Yes,1
December,2008,País Vasco,Guipúzcoa,Partner,31-40 years,21-30 years,No,Yes,1
February,2009,Andalucía,Granada,Ex-partner,51-64 years,65-74 years,No,No,1
February,2009,Andalucía,Huelva,Partner,31-40 years,31-40 years,No,No,1
February,2009,Andalucía,Sevilla,Partner,21-30 years,21-30 years,Yes,Yes,1
February,2009,Comunidad de Madrid,Madrid,Partner,21-30 years,31-40 years,No,No,1
February,2009,Comunidad de Madrid,Madrid,Partner,31-40 years,31-40 years,No,No,1
March,2009,Canarias,Santa Cruz de Tenerife,Ex-partner,31-40 years,41-50 years,No,No,1
March,2009,Cataluña,Tarragona,Ex-partner,21-30 years,31-40 years,Yes,No,1
March,2009,Comunidad Valenciana,Castellón,Partner,41-50 years,41-50 years,Yes,Yes,1
March,2009,Comunidad Valenciana,Valencia,Partner,65-74 years,51-64 years,No,Yes,1
March,2009,País Vasco,Vizcaya,Partner,41-50 years,41-50 years,Yes,Yes,1
April,2009,Andalucía,Granada,Partner,75-84 years,75-84 years,No,Yes,1
April,2009,Extremadura,Cáceres,Partner,51-64 years,65-74 years,Yes,Yes,1
May,2009,Andalucía,Almería,Partner,41-50 years,41-50 years,No,Yes,1
May,2009,Canarias,Santa Cruz de Tenerife,Ex-partner,31-40 years,31-40 years,Yes,No,1
May,2009,Canarias,Santa Cruz de Tenerife,Ex-partner,41-50 years,41-50 years,Yes,No,1
May,2009,Cataluña,Barcelona,Ex-partner,18-20 years,21-30 years,No,No,1
May,2009,Cataluña,Barcelona,Ex-partner,31-40 years,51-64 years,Yes,No,1
May,2009,Cataluña,Barcelona,Partner,18-20 years,21-30 years,No,Yes,1
May,2009,Comunidad Valenciana,Alicante,Partner,18-20 years,21-30 years,No,Yes,1
May,2009,Comunidad Valenciana,Castellón,Partner,31-40 years,31-40 years,Yes,Yes,1
May,2009,País Vasco,Guipúzcoa,Partner,31-40 years,31-40 years,No,No,1
June,2009,Canarias,Las Palmas,Partner,51-64 years,51-64 years,No,No,1
June,2009,Cataluña,Barcelona,Ex-partner,31-40 years,21-30 years,No,No,1
June,2009,Comunidad Valenciana,Alicante,Partner,31-40 years,41-50 years,No,Yes,1
June,2009,Comunidad de Madrid,Madrid,Partner,21-30 years,21-30 years,Yes,Yes,1
June,2009,Comunidad de Madrid,Madrid,Partner,75-84 years,75-84 years,No,Yes,1
July,2009,Andalucía,Málaga,Partner,51-64 years,51-64 years,No,Yes,1
July,2009,Andalucía,Sevilla,Partner,51-64 years,51-64 years,No,Yes,1
July,2009,Castilla - La Mancha,Toledo,Partner,31-40 years,21-30 years,Yes,No,1
July,2009,Galicia,A Coruña,Ex-partner,31-40 years,41-50 years,No,No,1
July,2009,Región de Murcia,Murcia,Partner,41-50 years,65-74 years,No,Yes,1
July,2009,Ceuta,Ceuta,Partner,21-30 years,31-40 years,No,Yes,1
August,2009,Andalucía,Málaga,Partner,65-74 years,65-74 years,No,Yes,1
August,2009,Cataluña,Barcelona,Partner,21-30 years,18-20 years,No,Yes,1
August,2009,Cataluña,Barcelona,Partner,41-50 years,41-50 years,No,Yes,1
August,2009,Galicia,A Coruña,Partner,75-84 years,75-84 years,No,Yes,1
August,2009,Galicia,Ourense,Ex-partner,18-20 years,31-40 years,Yes,No,1
August,2009,Región de Murcia,Murcia,Partner,21-30 years,31-40 years,No,Yes,1
September,2009,Andalucía,Almería,Ex-partner,41-50 years,51-64 years,No,No,1
September,2009,Canarias,Santa Cruz de Tenerife,Partner,31-40 years,31-40 years,No,Yes,1
September,2009,Castilla y León,Ávila,Partner,21-30 years,21-30 years,Yes,No,1
September,2009,Cataluña,Barcelona,Partner,21-30 years,31-40 years,Yes,Yes,1
September,2009,Comunidad Valenciana,Alicante,Partner,31-40 years,41-50 years,No,Yes,1
September,2009,Comunidad Valenciana,Valencia,Partner,31-40 years,31-40 years,No,Yes,1
October,2009,Andalucía,Córdoba,Partner,51-64 years,65-74 years,No,Yes,1
October,2009,Andalucía,Málaga,Ex-partner,21-30 years,21-30 years,No,No,1
October,2009,Islas Baleares,Islas Baleares,Partner,31-40 years,41-50 years,No,Yes,1
October,2009,Cataluña,Tarragona,Partner,31-40 years,31-40 years,No,Yes,1
October,2009,Cataluña,Tarragona,Partner,41-50 years,51-64 years,No,Yes,1
October,2009,Comunidad Valenciana,Alicante,Partner,51-64 years,65-74 years,No,Yes,1
November,2009,La Rioja,La Rioja,Ex-partner,31-40 years,31-40 years,No,No,1
December,2009,Andalucía,Almería,Partner,65-74 years,65-74 years,No,Yes,1
December,2009,Andalucía,Huelva,Partner,41-50 years,21-30 years,No,Yes,1
December,2009,Andalucía,Málaga,Partner,21-30 years,21-30 years,No,Yes,1
December,2009,Comunidad Valenciana,Valencia,Partner,75-84 years,>85 years,No,Yes,1
December,2009,Comunidad de Madrid,Madrid,Ex-partner,18-20 years,31-40 years,No,No,1
January,2010,Andalucía,Sevilla,Partner,41-50 years,51-64 years,No,Yes,1
January,2010,Islas Baleares,Islas Baleares,Partner,41-50 years,51-64 years,No,Yes,1
January,2010,Comunidad de Madrid,Madrid,Ex-partner,31-40 years,31-40 years,No,No,1
February,2010,Andalucía,Almería,Partner,21-30 years,31-40 years,No,Yes,1
February,2010,Principado de Asturias,Asturias,Partner,51-64 years,51-64 years,No,Yes,1
February,2010,Cataluña,Tarragona,Partner,31-40 years,41-50 years,Yes,Yes,1
February,2010,Comunidad de Madrid,Madrid,Partner,21-30 years,31-40 years,No,Yes,1
March,2010,Andalucía,Almería,Partner,41-50 years,41-50 years,No,Yes,1
March,2010,Andalucía,Huelva,Ex-partner,51-64 years,51-64 years,Yes,No,1
March,2010,Canarias,Santa Cruz de Tenerife,Ex-partner,31-40 years,65-74 years,No,No,1
March,2010,Castilla y León,Burgos,Ex-partner,21-30 years,31-40 years,No,No,1
March,2010,Castilla y León,Valladolid,Partner,51-64 years,51-64 years,No,No,1
March,2010,Cataluña,Barcelona,Partner,31-40 years,31-40 years,No,Yes,1
March,2010,Comunidad Valenciana,Castellón,Partner,51-64 years,65-74 years,No,Yes,1
April,2010,Andalucía,Málaga,Ex-partner,51-64 years,75-84 years,No,No,1
April,2010,Aragón,Zaragoza,Partner,21-30 years,41-50 years,Yes,Yes,1
April,2010,Principado de Asturias,Asturias,Partner,41-50 years,31-40 years,No,Yes,1
April,2010,Principado de Asturias,Asturias,Partner,51-64 years,51-64 years,No,Yes,1
April,2010,Castilla y León,Burgos,Partner,51-64 years,51-64 years,No,Yes,1
April,2010,Comunidad Valenciana,Alicante,Ex-partner,21-30 years,31-40 years,Yes,No,1
April,2010,Comunidad Valenciana,Valencia,Partner,51-64 years,41-50 years,Yes,Yes,1
April,2010,Comunidad de Madrid,Madrid,Partner,21-30 years,31-40 years,No,Yes,1
May,2010,Andalucía,Sevilla,Ex-partner,31-40 years,31-40 years,No,No,1
May,2010,Andalucía,Sevilla,Partner,41-50 years,31-40 years,No,Yes,1
May,2010,Canarias,Santa Cruz de Tenerife,Partner,31-40 years,31-40 years,No,Yes,1
May,2010,Cataluña,Barcelona,Partner,31-40 years,31-40 years,No,Yes,1
May,2010,Cataluña,Girona,Partner,41-50 years,51-64 years,No,Yes,1
May,2010,Región de Murcia,Murcia,Partner,65-74 years,51-64 years,No,Yes,1
June,2010,Andalucía,Almería,Partner,31-40 years,31-40 years,No,Yes,1
June,2010,Principado de Asturias,Asturias,Partner,51-64 years,51-64 years,No,Yes,1
June,2010,Canarias,Santa Cruz de Tenerife,Partner,41-50 years,41-50 years,Yes,Yes,1
June,2010,Cataluña,Girona,Partner,31-40 years,51-64 years,No,No,1
June,2010,Comunidad Valenciana,Alicante,Ex-partner,51-64 years,51-64 years,No,No,1
July,2010,Andalucía,Cádiz,Partner,51-64 years,65-74 years,No,No,1
July,2010,Andalucía,Granada,Ex-partner,41-50 years,65-74 years,Yes,No,1
July,2010,Aragón,Zaragoza,Partner,41-50 years,41-50 years,No,No,1
July,2010,Canarias,Las Palmas,Partner,21-30 years,31-40 years,No,No,1
July,2010,Canarias,Santa Cruz de Tenerife,Partner,31-40 years,31-40 years,No,Yes,1
July,2010,Canarias,Santa Cruz de Tenerife,Partner,41-50 years,51-64 years,No,Yes,1
July,2010,Castilla - La Mancha,Cuenca,Partner,31-40 years,41-50 years,Yes,Yes,1
July,2010,Castilla - La Mancha,Cuenca,Partner,65-74 years,75-84 years,No,Yes,1
July,2010,Cataluña,Barcelona,Partner,21-30 years,31-40 years,Yes,Yes,1
July,2010,País Vasco,Vizcaya,Partner,31-40 years,41-50 years,Yes,Yes,1
August,2010,Cataluña,Girona,Partner,41-50 years,31-40 years,Yes,Yes,1
August,2010,Galicia,Lugo,Partner,41-50 years,41-50 years,No,Yes,1
September,2010,Andalucía,Almería,Ex-partner,31-40 years,41-50 years,No,No,1
September,2010,Andalucía,Córdoba,Partner,21-30 years,31-40 years,No,Yes,1
September,2010,Principado de Asturias,Asturias,Ex-partner,21-30 years,21-30 years,Yes,No,1
September,2010,Castilla y León,Palencia,Partner,41-50 years,41-50 years,Yes,No,1
September,2010,Cataluña,Barcelona,Partner,21-30 years,31-40 years,No,Yes,1
September,2010,Cataluña,Girona,Ex-partner,31-40 years,31-40 years,No,No,1
September,2010,Comunidad Valenciana,Castellón,Ex-partner,31-40 years,41-50 years,Yes,No,1
September,2010,Galicia,A Coruña,Ex-partner,31-40 years,51-64 years,No,No,1
October,2010,Andalucía,Granada,Partner,31-40 years,51-64 years,No,Yes,1
October,2010,Andalucía,Málaga,Partner,75-84 years,75-84 years,No,Yes,1
October,2010,Cataluña,Barcelona,Partner,41-50 years,41-50 years,No,Yes,1
October,2010,Cataluña,Tarragona,Partner,21-30 years,31-40 years,Yes,No,1
October,2010,Comunidad Valenciana,Alicante,Partner,51-64 years,51-64 years,No,Yes,1
October,2010,Comunidad de Madrid,Madrid,Partner,41-50 years,51-64 years,No,Yes,1
November,2010,Andalucía,Almería,Partner,31-40 years,41-50 years,Yes,Yes,1
November,2010,Andalucía,Sevilla,Partner,31-40 years,31-40 years,Yes,Yes,1
November,2010,Islas Baleares,Islas Baleares,Partner,41-50 years,>85 years,No,No,1
November,2010,Canarias,Santa Cruz de Tenerife,Partner,31-40 years,31-40 years,Yes,Yes,1
November,2010,Comunidad Valenciana,Valencia,Partner,51-64 years,41-50 years,No,No,1
November,2010,Comunidad de Madrid,Madrid,Ex-partner,16-17 years,18-20 years,No,No,1
November,2010,Comunidad de Madrid,Madrid,Partner,75-84 years,75-84 years,No,Yes,1
December,2010,Andalucía,Málaga,Partner,21-30 years,21-30 years,No,Yes,1
December,2010,Castilla - La Mancha,Ciudad Real,Partner,21-30 years,21-30 years,Yes,Yes,1
December,2010,Cataluña,Barcelona,Partner,41-50 years,31-40 years,No,Yes,1
December,2010,Comunidad Valenciana,Alicante,Ex-partner,21-30 years,21-30 years,Yes,No,1
December,2010,Extremadura,Badajoz,Partner,41-50 years,51-64 years,Yes,Yes,1
December,2010,Comunidad de Madrid,Madrid,Partner,31-40 years,41-50 years,No,Yes,1
December,2010,País Vasco,Vizcaya,Ex-partner,21-30 years,21-30 years,Yes,No,1
January,2011,Andalucía,Granada,Partner,21-30 years,31-40 years,No,Yes,1
January,2011,Andalucía,Jaén,Partner,41-50 years,41-50 years,Yes,No,1
January,2011,Islas Baleares,Islas Baleares,Partner,65-74 years,>85 years,No,Yes,1
January,2011,Canarias,Las Palmas,Partner,51-64 years,41-50 years,No,Yes,1
January,2011,Castilla y León,Segovia,Partner,41-50 years,51-64 years,No,Yes,1
January,2011,Castilla - La Mancha,Ciudad Real,Partner,41-50 years,41-50 years,No,Yes,1
January,2011,Comunidad de Madrid,Madrid,Partner,51-64 years,41-50 years,No,Yes,1
January,2011,Región de Murcia,Murcia,Partner,31-40 years,51-64 years,No,Yes,1
February,2011,Andalucía,Almería,Partner,41-50 years,31-40 years,No,Yes,1
February,2011,Andalucía,Málaga,Partner,31-40 years,41-50 years,Yes,No,1
February,2011,Cataluña,Barcelona,Ex-partner,21-30 years,21-30 years,No,No,1
February,2011,Cataluña,Tarragona,Partner,41-50 years,31-40 years,Yes,Yes,1
February,2011,Comunidad Valenciana,Valencia,Partner,31-40 years,65-74 years,No,Yes,1
March,2011,Andalucía,Granada,Partner,51-64 years,51-64 years,No,Yes,1
March,2011,Andalucía,Jaén,Ex-partner,41-50 years,41-50 years,Yes,No,1
March,2011,Comunidad de Madrid,Madrid,Partner,51-64 years,51-64 years,Yes,No,1
April,2011,Comunidad Valenciana,Alicante,Partner,21-30 years,41-50 years,No,Yes,1
April,2011,Comunidad de Madrid,Madrid,Partner,18-20 years,21-30 years,No,Yes,1
April,2011,Comunidad Foral de Navarra,Navarra,Ex-partner,21-30 years,21-30 years,No,No,1
May,2011,Andalucía,Almería,Ex-partner,21-30 years,41-50 years,No,No,1
May,2011,Andalucía,Almería,Partner,21-30 years,31-40 years,No,No,1
May,2011,Andalucía,Córdoba,Partner,21-30 years,21-30 years,No,Yes,1
May,2011,Cataluña,Barcelona,Partner,31-40 years,41-50 years,No,Yes,1
May,2011,Cataluña,Girona,Ex-partner,65-74 years,75-84 years,Yes,No,1
May,2011,Galicia,A Coruña,Ex-partner,18-20 years,21-30 years,No,No,1
May,2011,Comunidad de Madrid,Madrid,Ex-partner,41-50 years,41-50 years,Yes,Yes,1
May,2011,Comunidad de Madrid,Madrid,Partner,41-50 years,31-40 years,No,Yes,1
June,2011,Principado de Asturias,Asturias,Partner,51-64 years,65-74 years,No,Yes,1
June,2011,Comunidad Valenciana,Valencia,Partner,75-84 years,75-84 years,No,Yes,1
July,2011,Andalucía,Granada,Partner,18-20 years,21-30 years,No,No,1
July,2011,Aragón,Zaragoza,Partner,21-30 years,21-30 years,No,Yes,1
July,2011,Cataluña,Barcelona,Partner,21-30 years,21-30 years,Yes,Yes,1
July,2011,Comunidad Valenciana,Alicante,Partner,21-30 years,51-64 years,No,Yes,1
July,2011,Comunidad Valenciana,Valencia,Partner,21-30 years,31-40 years,Yes,Yes,1
July,2011,Comunidad de Madrid,Madrid,Partner,31-40 years,51-64 years,Yes,Yes,1
July,2011,País Vasco,Guipúzcoa,Ex-partner,51-64 years,41-50 years,Yes,No,1
August,2011,Castilla y León,Burgos,Partner,41-50 years,51-64 years,No,No,1
August,2011,Comunidad de Madrid,Madrid,Partner,65-74 years,65-74 years,No,Yes,1
August,2011,Región de Murcia,Murcia,Partner,65-74 years,75-84 years,No,Yes,1
August,2011,País Vasco,Vizcaya,Partner,31-40 years,31-40 years,Yes,No,1
September,2011,Andalucía,Almería,Partner,31-40 years,41-50 years,No,Yes,1
September,2011,Andalucía,Cádiz,Partner,65-74 years,65-74 years,No,Yes,1
September,2011,Andalucía,Sevilla,Ex-partner,41-50 years,41-50 years,Yes,No,1
September,2011,Canarias,Santa Cruz de Tenerife,Partner,31-40 years,51-64 years,No,Yes,1
September,2011,Comunidad Valenciana,Castellón,Partner,41-50 years,51-64 years,No,Yes,1
September,2011,Comunidad Valenciana,Valencia,Partner,31-40 years,51-64 years,Yes,No,1
October,2011,Andalucía,Málaga,Partner,51-64 years,51-64 years,No,Yes,1
October,2011,Principado de Asturias,Asturias,Partner,21-30 years,21-30 years,No,Yes,1
October,2011,Canarias,Las Palmas,Partner,31-40 years,31-40 years,No,Yes,1
October,2011,Cataluña,Girona,Partner,31-40 years,41-50 years,No,Yes,1
October,2011,Comunidad Valenciana,Alicante,Partner,75-84 years,75-84 years,No,Yes,1
October,2011,Galicia,Pontevedra,Partner,31-40 years,41-50 years,No,No,1
November,2011,Aragón,Zaragoza,Partner,21-30 years,51-64 years,No,Yes,1
November,2011,Cataluña,Barcelona,Partner,41-50 years,41-50 years,No,Yes,1
November,2011,Cataluña,Lleida,Partner,31-40 years,51-64 years,No,No,1
December,2011,Andalucía,Almería,Partner,31-40 years,51-64 years,No,Yes,1
December,2011,Andalucía,Sevilla,Ex-partner,21-30 years,31-40 years,Yes,No,1
December,2011,Cataluña,Girona,Partner,51-64 years,51-64 years,No,Yes,1
December,2011,Galicia,A Coruña,Ex-partner,31-40 years,31-40 years,No,No,1
December,2011,Comunidad de Madrid,Madrid,Ex-partner,51-64 years,41-50 years,No,No,1
December,2011,Comunidad de Madrid,Madrid,Partner,31-40 years,31-40 years,No,Yes,1
January,2012,Andalucía,Jaén,Ex-partner,41-50 years,51-64 years,No,No,1
January,2012,Cataluña,Barcelona,Partner,51-64 years,21-30 years,No,Yes,1
January,2012,Cataluña,Barcelona,Partner,51-64 years,51-64 years,No,Yes,1
January,2012,Cataluña,Barcelona,Partner,51-64 years,65-74 years,No,Yes,1
January,2012,Cataluña,Girona,Partner,21-30 years,31-40 years,No,Yes,1
January,2012,Cataluña,Tarragona,Partner,31-40 years,31-40 years,No,Yes,1
January,2012,Cataluña,Tarragona,Partner,41-50 years,51-64 years,No,Yes,1
January,2012,Extremadura,Badajoz,Partner,75-84 years,75-84 years,No,Yes,1
