Month,Year,Autonomous Community,Province,Relation,Victim Age,Agressor Age,Previous Abuse Report,Living Together,Victims
December,2013,Cataluña,Barcelona,Ex-partner,31-40 years,31-40 years,Yes,No,1
December,2013,Galicia,Pontevedra,Partner,41-50 years,31-40 years,No,Yes,1
January,2014,Andalucía,Córdoba,Partner,41-50 years,31-40 years,No,Yes,1
January,2014,Canarias,Santa Cruz de Tenerife,Partner,31-40 years,31-40 years,No,Yes,1
January,2014,Cataluña,Barcelona,Partner,41-50 years,41-50 years,Yes,Yes,1
January,2014,Cataluña,Tarragona,Partner,51-64 years,51-64 years,Yes,Yes,1
January,2014,Comunidad Valenciana,Alicante,Partner,51-64 years,51-64 years,Yes,Yes,1
January,2014,Galicia,Lugo,Partner,41-50 years,51-64 years,No,Yes,1
January,2014,Comunidad de Madrid,Madrid,Partner,21-30 years,18-20 years,No,No,1
February,2014,Cataluña,Barcelona,Partner,41-50 years,41-50 years,Yes,Yes,1
February,2014,Cataluña,Barcelona,Partner,75-84 years,75-84 years,No,Yes,1
February,2014,Comunidad Valenciana,Alicante,Partner,51-64 years,21-30 years,No,Yes,1
February,2014,Galicia,A Coruña,Partner,31-40 years,41-50 years,Yes,No,1
February,2014,Comunidad de Madrid,Madrid,Ex-partner,41-50 years,31-40 years,No,No,1
March,2014,Andalucía,Cádiz,Partner,75-84 years,75-84 years,No,Yes,1
March,2014,Andalucía,Málaga,Ex-partner,41-50 years,41-50 years,No,No,1
March,2014,Islas Baleares,Islas Baleares,Partner,31-40 years,21-30 years,No,Yes,1
March,2014,Castilla y León,Valladolid,Ex-partner,31-40 years,31-40 years,No,No,1
March,2014,Cataluña,Barcelona,Partner,51-64 years,51-64 years,Yes,No,1
March,2014,Comunidad de Madrid,Madrid,Ex-partner,41-50 years,41-50 years,No,No,1
March,2014,País Vasco,Vizcaya,Ex-partner,31-40 years,31-40 years,No,No,1
March,2014,Melilla,Melilla,Partner,51-64 years,65-74 years,No,Yes,1
April,2014,Andalucía,Cádiz,Partner,41-50 years,41-50 years,No,Yes,1
April,2014,Cataluña,Tarragona,Partner,75-84 years,75-84 years,No,Yes,1
April,2014,Galicia,A Coruña,Partner,41-50 years,41-50 years,Yes,Yes,1
April,2014,Galicia,Lugo,Partner,65-74 years,65-74 years,No,Yes,1
May,2014,Andalucía,Almería,Partner,31-40 years,31-40 years,No,Yes,1
May,2014,Comunidad de Madrid,Madrid,Partner,21-30 years,31-40 years,Yes,No,1
June,2014,Andalucía,Granada,Partner,51-64 years,51-64 years,No,Yes,1
June,2014,Islas Baleares,Islas Baleares,Partner,41-50 years,41-50 years,No,No,1
June,2014,Castilla y León,León,Partner,51-64 years,51-64 years,Yes,No,1
July,2014,Andalucía,Málaga,Ex-partner,21-30 years,21-30 years,Yes,No,1
July,2014,Islas Baleares,Islas Baleares,Partner,41-50 years,51-64 years,No,No,1
July,2014,Galicia,Pontevedra,Partner,75-84 years,75-84 years,No,Yes,1
August,2014,Andalucía,Almería,Ex-partner,41-50 years,31-40 years,Yes,No,1
August,2014,Andalucía,Málaga,Partner,31-40 years,31-40 years,No,Yes,1
August,2014,Cataluña,Barcelona,Partner,41-50 years,41-50 years,No,Yes,1
August,2014,Cataluña,Barcelona,Partner,41-50 years,65-74 years,No,Yes,1
August,2014,Comunidad Valenciana,Alicante,Partner,31-40 years,31-40 years,No,Yes,1
August,2014,Comunidad Valenciana,Alicante,Partner,>85 years,>85 years,No,Yes,1
August,2014,Galicia,Pontevedra,Partner,31-40 years,41-50 years,No,Yes,1
August,2014,Comunidad de Madrid,Madrid,Partner,31-40 years,51-64 years,No,Yes,1
September,2014,Andalucía,Granada,Partner,51-64 years,51-64 years,No,Yes,1
September,2014,Comunidad Valenciana,Alicante,Partner,75-84 years,65-74 years,No,Yes,1
October,2014,Cataluña,Barcelona,Partner,21-30 years,41-50 years,Yes,Yes,1
October,2014,Comunidad Valenciana,Valencia,Partner,41-50 years,41-50 years,No,Yes,1
